"latitude","longitude","date","CyAN_CI_cells_ml","CyFi_cells_ml"
26.9456187017659,-80.8331578130505,"2019-07-03",30242.0620405156,10585
26.9456187017659,-80.8331578130505,"2019-07-07",12417.9355072395,10384
27.9113865446157,-81.2665105450388,"2019-07-03",299434.198646982,14201
27.9113865446157,-81.2665105450388,"2019-07-04",291465.663855971,12264
27.9113865446157,-81.2665105450388,"2019-07-05",352034.640080662,12990
27.9113865446157,-81.2665105450388,"2019-07-06",268809.987082336,12586
27.9113865446157,-81.2665105450388,"2019-07-07",361659.102324386,13091
27.9113865446157,-81.2665105450388,"2019-07-08",276159.126277323,12822
27.9113865446157,-81.2665105450388,"2019-07-12",333547.277363238,9890
27.9113865446157,-81.2665105450388,"2019-07-15",425190.350647824,9768
27.9712253632218,-81.8380089824864,"2019-07-02",834513.56400065,12114
27.9712253632218,-81.8380089824864,"2019-07-03",929585.626668079,28326
27.9712253632218,-81.8380089824864,"2019-07-04",1035488.78602435,24950
27.9712253632218,-81.8380089824864,"2019-07-06",929585.626668079,24244
27.9712253632218,-81.8380089824864,"2019-07-07",812305.511619333,25086
27.9712253632218,-81.8380089824864,"2019-07-08",857328.774136675,24136
27.9712253632218,-81.8380089824864,"2019-07-11",880767.741436161,19035
27.9712253632218,-81.8380089824864,"2019-07-12",857328.774136675,18726
27.9712253632218,-81.8380089824864,"2019-07-15",834513.56400065,18398
27.9779046943683,-81.5232540583898,"2019-07-12",1035488.78602435,489209
27.9779046943683,-81.5232540583898,"2019-07-15",1063798.56463763,351142
28.023905584016,-81.74417067752,"2019-07-03",371546.69285986,148199
28.023905584016,-81.74417067752,"2019-07-04",299434.198646982,150026
28.0511345845852,-81.6533110440384,"2019-07-02",513548.423083013,177465
28.0511345845852,-81.6533110440384,"2019-07-03",729228.107784489,189595
28.0511345845852,-81.6533110440384,"2019-07-04",769646.679445236,189099
28.0511345845852,-81.6533110440384,"2019-07-05",587694.193708415,184334
28.0511345845852,-81.6533110440384,"2019-07-06",709821.909114728,206724
28.0511345845852,-81.6533110440384,"2019-07-07",769646.679445236,214910
28.0511345845852,-81.6533110440384,"2019-07-12",790688.459326986,164527
28.0511345845852,-81.6533110440384,"2019-07-15",499881.886345736,173713
